statistics_code;statistics_label;time_code;time_label;time;1_variable_code;1_variable_label;1_variable_attribute_code;1_variable_attribute_label;2_variable_code;2_variable_label;2_variable_attribute_code;2_variable_attribute_label;3_variable_code;3_variable_label;3_variable_attribute_code;3_variable_attribute_label;value;value_unit;value_variable_code;value_variable_label
41331;Schlachtungs- und Schlachtgewichtsstatistik;JAHR;Jahr;2009;DINSG;Deutschland insgesamt;DG;Deutschland;TIEA04;Tierarten;TIERART405;Lämmer;SCHLA1;Schlachtungsart;SCHLACHT1;Gewerbl. Schlachtung von Tieren inländ. Herkunft;744209;Anzahl;GTR001;Geschlachtete Tiere
41331;Schlachtungs- und Schlachtgewichtsstatistik;JAHR;Jahr;2015;DINSG;Deutschland insgesamt;DG;Deutschland;TIEA04;Tierarten;TIERART405;Lämmer;SCHLA1;Schlachtungsart;SCHLACHT3;Hausschlachtung;551;t;GTR002;Schlachtmenge
41331;Schlachtungs- und Schlachtgewichtsstatistik;JAHR;Jahr;2015;DINSG;Deutschland insgesamt;DG;Deutschland;TIEA04;Tierarten;TIERART405;Lämmer;SCHLA1;Schlachtungsart;SCHLACHT3;Hausschlachtung;30386;Anzahl;GTR001;Geschlachtete Tiere
41331;Schlachtungs- und Schlachtgewichtsstatistik;JAHR;Jahr;2020;DINSG;Deutschland insgesamt;DG;Deutschland;TIEA04;Tierarten;TIERART1;Pferde;SCHLA1;Schlachtungsart;SCHLACHT1;Gewerbl. Schlachtung von Tieren inländ. Herkunft;1128;t;GTR002;Schlachtmenge
41331;Schlachtungs- und Schlachtgewichtsstatistik;JAHR;Jahr;2020;DINSG;Deutschland insgesamt;DG;Deutschland;TIEA04;Tierarten;TIERART1;Pferde;SCHLA1;Schlachtungsart;SCHLACHT1;Gewerbl. Schlachtung von Tieren inländ. Herkunft;4199;Anzahl;GTR001;Geschlachtete Tiere
41331;Schlachtungs- und Schlachtgewichtsstatistik;JAHR;Jahr;2000;DINSG;Deutschland insgesamt;DG;Deutschland;TIEA04;Tierarten;TIERART6;Ziegen;SCHLA1;Schlachtungsart;SCHLACHT1;Gewerbl. Schlachtung von Tieren inländ. Herkunft;191;t;GTR002;Schlachtmenge
41331;Schlachtungs- und Schlachtgewichtsstatistik;JAHR;Jahr;2000;DINSG;Deutschland insgesamt;DG;Deutschland;TIEA04;Tierarten;TIERART6;Ziegen;SCHLA1;Schlachtungsart;SCHLACHT1;Gewerbl. Schlachtung von Tieren inländ. Herkunft;10585;Anzahl;GTR001;Geschlachtete Tiere
41331;Schlachtungs- und Schlachtgewichtsstatistik;JAHR;Jahr;2022;DINSG;Deutschland insgesamt;DG;Deutschland;TIEA04;Tierarten;TIERART2001;Jungrinder;SCHLA1;Schlachtungsart;SCHLACHT3;Hausschlachtung;295;t;GTR002;Schlachtmenge
41331;Schlachtungs- und Schlachtgewichtsstatistik;JAHR;Jahr;2022;DINSG;Deutschland insgesamt;DG;Deutschland;TIEA04;Tierarten;TIERART2001;Jungrinder;SCHLA1;Schlachtungsart;SCHLACHT3;Hausschlachtung;1744;Anzahl;GTR001;Geschlachtete Tiere
41331;Schlachtungs- und Schlachtgewichtsstatistik;JAHR;Jahr;1996;DINSG;Deutschland insgesamt;DG;Deutschland;TIEA04;Tierarten;TIERART20;Rinder;SCHLA1;Schlachtungsart;SCHLACHT1;Gewerbl. Schlachtung von Tieren inländ. Herkunft;1363137;t;GTR002;Schlachtmenge
41331;Schlachtungs- und Schlachtgewichtsstatistik;JAHR;Jahr;1996;DINSG;Deutschland insgesamt;DG;Deutschland;TIEA04;Tierarten;TIERART20;Rinder;SCHLA1;Schlachtungsart;SCHLACHT1;Gewerbl. Schlachtung von Tieren inländ. Herkunft;4268502;Anzahl;GTR001;Geschlachtete Tiere
41331;Schlachtungs- und Schlachtgewichtsstatistik;JAHR;Jahr;1993;DINSG;Deutschland insgesamt;DG;Deutschland;TIEA04;Tierarten;TIERART4;Schafe;SCHLA1;Schlachtungsart;SCHLACHT1;Gewerbl. Schlachtung von Tieren inländ. Herkunft;15889;t;GTR002;Schlachtmenge
41331;Schlachtungs- und Schlachtgewichtsstatistik;JAHR;Jahr;1993;DINSG;Deutschland insgesamt;DG;Deutschland;TIEA04;Tierarten;TIERART4;Schafe;SCHLA1;Schlachtungsart;SCHLACHT1;Gewerbl. Schlachtung von Tieren inländ. Herkunft;673353;Anzahl;GTR001;Geschlachtete Tiere
41331;Schlachtungs- und Schlachtgewichtsstatistik;JAHR;Jahr;2020;DINSG;Deutschland insgesamt;DG;Deutschland;TIEA04;Tierarten;TIERART05;Kälber;SCHLA1;Schlachtungsart;SCHLACHT2;Gewerbl. Schlachtung von Tieren ausländ. Herkunft;x;t;GTR002;Schlachtmenge
41331;Schlachtungs- und Schlachtgewichtsstatistik;JAHR;Jahr;2020;DINSG;Deutschland insgesamt;DG;Deutschland;TIEA04;Tierarten;TIERART05;Kälber;SCHLA1;Schlachtungsart;SCHLACHT2;Gewerbl. Schlachtung von Tieren ausländ. Herkunft;166;Anzahl;GTR001;Geschlachtete Tiere
41331;Schlachtungs- und Schlachtgewichtsstatistik;JAHR;Jahr;2005;DINSG;Deutschland insgesamt;DG;Deutschland;TIEA04;Tierarten;TIERART6;Ziegen;SCHLA1;Schlachtungsart;SCHLACHT2;Gewerbl. Schlachtung von Tieren ausländ. Herkunft;-;t;GTR002;Schlachtmenge
41331;Schlachtungs- und Schlachtgewichtsstatistik;JAHR;Jahr;2005;DINSG;Deutschland insgesamt;DG;Deutschland;TIEA04;Tierarten;TIERART6;Ziegen;SCHLA1;Schlachtungsart;SCHLACHT2;Gewerbl. Schlachtung von Tieren ausländ. Herkunft;-;Anzahl;GTR001;Geschlachtete Tiere
41331;Schlachtungs- und Schlachtgewichtsstatistik;JAHR;Jahr;1994;DINSG;Deutschland insgesamt;DG;Deutschland;TIEA04;Tierarten;TIERART02;Bullen;SCHLA1;Schlachtungsart;SCHLACHT2;Gewerbl. Schlachtung von Tieren ausländ. Herkunft;x;t;GTR002;Schlachtmenge
41331;Schlachtungs- und Schlachtgewichtsstatistik;JAHR;Jahr;1994;DINSG;Deutschland insgesamt;DG;Deutschland;TIEA04;Tierarten;TIERART02;Bullen;SCHLA1;Schlachtungsart;SCHLACHT2;Gewerbl. Schlachtung von Tieren ausländ. Herkunft;1341;Anzahl;GTR001;Geschlachtete Tiere
41331;Schlachtungs- und Schlachtgewichtsstatistik;JAHR;Jahr;2015;DINSG;Deutschland insgesamt;DG;Deutschland;TIEA04;Tierarten;TIERART03;Kühe;SCHLA1;Schlachtungsart;SCHLACHT2;Gewerbl. Schlachtung von Tieren ausländ. Herkunft;x;t;GTR002;Schlachtmenge
41331;Schlachtungs- und Schlachtgewichtsstatistik;JAHR;Jahr;2015;DINSG;Deutschland insgesamt;DG;Deutschland;TIEA04;Tierarten;TIERART03;Kühe;SCHLA1;Schlachtungsart;SCHLACHT2;Gewerbl. Schlachtung von Tieren ausländ. Herkunft;23407;Anzahl;GTR001;Geschlachtete Tiere
